gap_length,scheduler,sample_idx,lsd,fad,spectral_convergence,normalized_harmonicity
100,cosine,2.0,0.020838394388556482,-4997.194744404256,0.9884341987655476,0.9208403578902787
100,power,2.0,0.019243714399635792,-4757.526437417326,0.989457941948508,0.7944976863418449
100,sigmoid,2.0,0.032208110019564626,-6909.059703832332,0.9580998252935773,0.6612783392004805
200,cosine,2.0,0.05224028378725052,-6388.02048804044,0.9506510899154754,0.7920577240542216
200,power,2.0,0.0638894397765398,-6701.940276453783,0.946127424389314,0.5829410502075252
200,sigmoid,2.0,0.04617485851049423,-7572.868979075658,0.9741724021671997,0.6666591720746927
400,cosine,2.0,0.10785795152187347,-4823.146367456325,0.93895481301545,0.6564278201121364
400,power,2.0,0.14663223326206207,-6209.465165656161,0.8905012827374831,0.5576834847093355
400,sigmoid,2.0,0.10629446506500244,-3155.618801531104,0.9137903800348814,0.5936671460144473
