gap_length,scheduler,sample_idx,lsd,fad,spectral_convergence,normalized_harmonicity
100,cosine,1.5811388300841898,0.0021031885617767048,2897.2964289273964,0.0025388968205299085,0.09476732277767909
100,power,1.5811388300841898,0.0036757240443616814,2947.1494179424117,0.0028125145368212345,0.2348572302156381
100,sigmoid,1.5811388300841898,0.01768248328174941,1653.2358808743495,0.0556404742474675,0.24241177453964885
200,cosine,1.5811388300841898,0.023787151562267916,10753.946783143369,0.05112637872277098,0.18016660050865715
200,power,1.5811388300841898,0.030146580464279697,11521.898568926721,0.04632930289019528,0.25018191884431396
200,sigmoid,1.5811388300841898,0.015511786316718916,12181.284781653543,0.0064601093284336365,0.247598283830061
400,cosine,1.5811388300841898,0.031173915709712143,6358.379857404257,0.01125365633797462,0.303259929901628
400,power,1.5811388300841898,0.029435614912810007,7303.868169303623,0.053421882131540234,0.22765496005348457
400,sigmoid,1.5811388300841898,0.02977493845005838,1483.6372358272033,0.08294062283915143,0.20684410244975954
